src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,256,256,256,1,1,128,0.375,0.00238283,0.00241795,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=4,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,2,1,128,0.375,0.00287899,0.00310207,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=128, num_N_blocks=4, N_chunk_size=2,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,3,1,128,0.375,0.00332602,0.00329525,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=64, num_M_blocks=4, M_chunk_size=1,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,4,1,128,0.375,0.00334116,0.0035216,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,5,1,128,0.375,0.00333117,0.00342946,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=64, num_M_blocks=4, M_chunk_size=1,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,6,1,128,0.375,0.00334644,0.0035583,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=64, num_M_blocks=4, M_chunk_size=1,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,7,1,128,0.375,0.00327561,0.0034885,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=64, num_M_blocks=4, M_chunk_size=1,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,8,1,128,0.375,0.00351928,0.00361912,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=128, num_M_blocks=4, M_chunk_size=2,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,9,1,128,0.375,0.00334627,0.00343387,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=64, num_M_blocks=4, M_chunk_size=1,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,10,1,128,0.375,0.00354764,0.00356281,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=64, num_M_blocks=4, M_chunk_size=1,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,11,1,128,0.375,0.00346897,0.00362324,0,false,M values: M=256, M_blk=32, M_tail=0, M_chunks=8, M_chunk_elems=32, num_M_blocks=8, M_chunk_size=1,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,12,1,128,0.375,0.00352185,0.00379711,0,false,M values: M=256, M_blk=48, M_tail=16, M_chunks=3, M_chunk_elems=96, num_M_blocks=6, M_chunk_size=2,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
512,512,512,512,1,1,512,1.5,0.00490232,0.00484235,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=384, num_N_blocks=8, N_chunk_size=6,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,2,1,512,1.5,0.0048704,0.00541264,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=256, num_N_blocks=8, N_chunk_size=4,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
512,512,512,512,3,1,512,1.5,0.0045101,0.00477165,0,false,M values: M=512, M_blk=64, M_tail=0, M_chunks=2, M_chunk_elems=256, num_M_blocks=8, M_chunk_size=4,N values: N=512, N_blk=64, N_tail=0, N_chunks=3, N_chunk_elems=192, num_N_blocks=8, N_chunk_size=3,K values: K=512, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
