BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,32,4096,4096,4096,4096,64,1,32768,3072.0,241.84,242.057,0,false,M values: M=4096, M_blk=256, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=16, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,32,1024,1024,1024,1024,64,1,2048,192.0,1.24678,1.25305,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=16, N_chunk_size=8,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
512,32,4096,4096,4096,4096,64,1,32768,3072.0,207.114,208.612,0,false,M values: M=4096, M_blk=512, M_tail=0, M_chunks=8, M_chunk_elems=512, num_M_blocks=8, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=512, num_N_blocks=64, N_chunk_size=8,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,32,1024,1024,1024,1024,64,1,2048,192.0,1.73376,1.73887,0,false,M values: M=1024, M_blk=768, M_tail=256, M_chunks=2, M_chunk_elems=768, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=768, num_N_blocks=16, N_chunk_size=12,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
768,32,4096,4096,4096,4096,64,1,32768,3072.0,214.827,214.917,0,false,M values: M=4096, M_blk=768, M_tail=256, M_chunks=6, M_chunk_elems=768, num_M_blocks=6, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=6, N_chunk_elems=768, num_N_blocks=64, N_chunk_size=12,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
None,32,1024,1024,1024,1024,64,1,2048,192.0,1.51447,1.53563,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=16, M_chunk_size=4,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=4,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
None,32,4096,4096,4096,4096,64,1,32768,3072.0,148.7,151.611,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=64, M_chunk_size=4,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,32,1024,1024,1024,1024,64,1,2048,192.0,1.75893,1.75607,0,false,M values: M=1024, M_blk=768, M_tail=256, M_chunks=2, M_chunk_elems=768, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=768, num_N_blocks=16, N_chunk_size=12,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
768,32,4096,4096,4096,4096,64,1,32768,3072.0,208.884,217.435,0,false,M values: M=4096, M_blk=768, M_tail=256, M_chunks=6, M_chunk_elems=768, num_M_blocks=6, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=6, N_chunk_elems=768, num_N_blocks=64, N_chunk_size=12,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
