src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,256,256,256,3,1,128,6.0,0.00742376,0.00743777,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=128, num_N_blocks=4, N_chunk_size=2,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,4,1,128,6.0,0.00688643,0.00682598,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=4,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,5,1,128,6.0,0.00708381,0.00655579,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,6,1,128,6.0,0.00636059,0.00686109,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,7,1,128,6.0,0.00672548,0.00659659,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=128, num_N_blocks=4, N_chunk_size=2,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,8,1,128,6.0,0.00662384,0.00765014,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=4,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,9,1,128,6.0,0.00636554,0.00842005,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=128, num_N_blocks=4, N_chunk_size=2,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,10,1,128,6.0,0.00655715,0.00698056,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,11,1,128,6.0,0.0065894,0.00643182,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,256,256,256,12,1,128,6.0,0.0072515,0.00698034,0,false,M values: M=256, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=4,N values: N=256, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=64, num_N_blocks=4, N_chunk_size=1,K values: K=256, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
